# Data from paperscape.org
# If you use this data, please give due credit to: Damien P. George and Rob Knegjens, Paperscape
# A citable DOI for this data can be found at http://github.com/paperscape/paperscape-data
#
# Format is 1 line per entry, with 7 fields separated by semicolons:
# arxiv-id;comma-separated-arxiv-categories;num-found-refs;num-total-refs;comma-separated-refs;comma-separated-authors;title
# Parse with Python code: entries = [line.split(";", 7) for line in open("file")]
# See comments at the bottom of this file for statistics
hep-th/9401017;hep-th;7;32;hep-th/9201036,hep-th/9202057,hep-th/9206046,hep-th/9301068,hep-th/9305010,funct-an/9306002,hep-th/9309154;A.Gorsky,N.Nekrasov;Relativistic Calogero-Moser model as gauged WZW theory
hep-th/9401018;hep-th;0;12;;R.J.Budzynski,W.Kondracki;Quantum Spaces: Notes and Comments on a Lecture by S. L. Woronowicz
hep-th/9401019;hep-th;2;14;hep-th/9208007,hep-th/9311029;R.J.Budzynski,W.Kondracki;Quantum Principal Fiber Bundles: Topological Aspects
hep-th/9401020;hep-th,hep-ph;3;27;hep-ph/9208212,hep-ph/9209210,hep-ph/9304234;J.Garriga;Instantons for Vacuum Decay at Finite Temperature in the Thin Wall Limit
hep-lat/9401004;hep-lat;0;11;;U.Aglietti,G.Martinelli,C.T.Sachrajda;Computing the Slope of the Isgur-Wise Function
cond-mat/9401012;cond-mat;6;38;hep-th/9111021,hep-th/9202057,hep-th/9206027,hep-th/9208028,hep-th/9209003,hep-th/9301128;D.V.Khveshchenko;Bosonization of current-current interactions
hep-ph/9401216;hep-ph,nucl-th;0;0;;Th.Meissner,E.R.Arriola,A.Blotz,K.Goeke;Baryons in Effective Chiral Quark Models with Polarized Dirac Sea
hep-ph/9401217;hep-ph;2;16;hep-ph/9205237,hep-ph/9303255;C.Carlson,M.Sher;Photoproduction of Very Light Gluinos
hep-th/9401021;hep-th;0;10;;A.Gorsky,N.Nekrasov;Elliptic Calogero-Moser system from two dimensional current algebra
hep-th/9401022;hep-th;1;15;hep-th/9112037;H.Roussel;Solutions of matrix models in the DIII generator ensemble
hep-th/9401023;hep-th,math.QA;0;0;;A.A.Voronov;Topological field theories, string backgrounds and homotopy algebras
hep-th/9401024;hep-th;2;15;hep-th/9112035,hep-th/9208059;K.Skenderis,P.van Nieuwenhuizen;On the Hamiltonian Approach and Path Integration for a Point Particle Minimally Coupled to Electromagnetism
gr-qc/9401002;gr-qc;1;21;gr-qc/9209012;J.M.Nester,R.-S.Tung;Another positivity proof and gravitational energy localizations
cond-mat/9401013;cond-mat;0;14;;R.M.Noack,S.R.White,D.J.Scalapino;Correlations in a two--chain Hubbard model
hep-ph/9401218;hep-ph;0;0;;S.R.Beane,U.van Kolck;The Dilated Chiral Quark Model
hep-th/9401025;hep-th;9;42;hep-th/9108011,hep-th/9109038,hep-th/9110053,hep-th/9110065,hep-th/9112044,hep-th/9206016,hep-th/9210031,hep-th/9212030,hep-th/9302033;E.Bergshoeff,I.Entrop,R.Kallosh;Exact Duality in String Effective Action
gr-qc/9401003;gr-qc,hep-th;0;0;;R.D.Sorkin;Quantum Mechanics as Quantum Measure Theory
hep-th/9401026;hep-th,alg-geom,funct-an,math.AG,math.FA;0;0;;D.Juriev;Infinite dimensional geometry and quantum field theory of strings. III. Infinite dimensional W-geometry of a second quantized free string
hep-ph/9401219;hep-ph;1;21;hep-ph/9307201;R.Hempfling,A.H.Hoang;Two-Loop Radiative Corrections to the Lightest Higgs Boson Mass in the Minimal Supersymmetric Model
